Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
1,Private flight,\n,-,N/A,,,Y
2,135 Airways,\n,,GNL,GENERAL,United States,N
3,1Time Airline,\n,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,\n,,WYT,,United Kingdom,N
5,213 Flight Unit,\n,,TFU,,Russia,N
6,223 Flight Unit State Airline,\n,,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,\n,,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,\n,,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,\n,,SEC,SECUREX,United States,N
10,40-Mile Air,\n,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,\n,,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,\n,,THD,DONUT,Canada,N
13,Ansett Australia,\n,AN,AAA,ANSETT,Australia,Y
14,Abacus International,\n,1B,,,Singapore,Y
15,Abelag Aviation,\n,W9,AAB,ABG,Belgium,N
16,Army Air Corps,\n,,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,\n,,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,\n,,SII,ASEISA,Mexico,N
19,Aero Biniza,\n,,BZS,BINIZA,Mexico,N
20,Aero Albatros,\n,,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,\n,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,\n,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,\n,,AAK,ALASKA ISLAND,United States,N
24,American Airlines,\n,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,\n,,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),\n,,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,\n,,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,\n,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,\n,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,\n,,AAU,AUSTASIA,Australia,N
31,Astro Air International,\n,,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,\n,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,\n,Q9,AFU,,Gambia,N
34,Afric'air Express,\n,,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,\n,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,\n,,AAZ,ANGUS,Canada,N
37,Artem-Avia,\n,,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,\n,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,\n,K5,ABE,ABAN,Iran,n
40,Aerial Oy,\n,,ABF,SKYWINGS,Finland,N
